bvid,arcurl,title,pubdate,rank_offset,author,mid,play,review,video_review,favorites,duration,tag,description
BV1X4411K7qr,http://www.bilibili.com/video/av54885591,213草开满有多强？,2019-06-08 13:25:21,12,大师牌,73370683,131737,262,460,370,537,"MUGEN,mugen,鬼畜,逗比,草薙京,凶恶",一个测试
BV1p4411p76j,http://www.bilibili.com/video/av54205141,荒大地 VS 里草,2019-06-01 17:30:41,13,大师牌,73370683,121393,161,152,390,89,"MUGEN,狂级,拳皇,KOF,七伽社,草薙京",狂上警告
BV1T4411n745,http://www.bilibili.com/video/av54318453,狂绅士开满有多强？,2019-06-02 14:00:00,14,大师牌,73370683,116287,606,408,294,840,"MUGEN,拳皇,KOF,卢卡尔,狂绅士,社长,凶恶",一个测试
BV1K4411G7ZV,http://www.bilibili.com/video/av55873230,【MUGEN】暴君七枷社 VS 荒大地,2019-06-17 13:49:00,15,丶宴傀,105081752,109566,125,232,260,181,"MUGEN,狂级,Mugen,KOF,kof,拳皇,干枯大地·七枷社",
BV1G4411G7ba,http://www.bilibili.com/video/av55920252,Boss队 vs 蔡徐坤,2019-06-17 21:57:05,16,极炫ギ罪恶,25200561,106902,135,490,493,450,"拳皇,mugen,拳皇mugen,kof,蔡徐坤,卢卡尔,大蛇,伊格尼斯,斋祀,BOSS","主角队 vs 蔡徐坤：av50949291
Boss队 vs 蔡徐坤(完结)：av59915540"
BV1A4411H7fe,http://www.bilibili.com/video/av54471300,GMF暴八开满有多强？,2019-06-03 18:33:39,17,大师牌,73370683,102932,681,249,239,713,"MUGEN,拳皇,KOF,八神庵,凶恶",一个测试
BV1d4411A79F,http://www.bilibili.com/video/av55320739,里草 VS 血八,2019-06-12 11:35:17,18,大师牌,73370683,89740,87,141,298,66,"MUGEN,拳皇,KOF,里草,血八",狂上警告
BV1Y4411T7ZB,http://www.bilibili.com/video/av55015894,【MUGEN】见识一下什么叫强到崩溃！！！,2019-06-09 05:46:49,19,花牧桂一,17089962,85437,105,82,507,294,"人物,mugen,超爽,整合包,拳皇,打斗,华丽","喜欢的话麻烦关注 推荐 投币 收藏 转发 点一点
感谢大家


纯为自己喜欢侵权的话联系我    我立马删除

链接: https://pan.baidu.com/s/1BMo7cy-x5UEvOEFPI-4TyQ 提取码: mvve 复制这段内容后打开百度网盘手机App，操作更方便哦

这是我收藏百度网盘所有的mugen   喜欢的请打开文件夹下载  


目前这个版本的mugen是1200人整合
1p金钱猫"
BV1Q4411g789,http://www.bilibili.com/video/av56182053,666草vs神暴风子(高潮杀),2019-06-20 14:48:08,20,我可不是个瓜皮,362066838,85385,48,78,307,214,"MUGEN,狂级,拳皇MUGEN",感觉其他录屏软件好难用啊，还是用我的kk吧
BV1Y4411g7Wc,http://www.bilibili.com/video/av56121148,【MUGEN】凶至论外缘分至上生存大会52P  你敢审我？,2019-06-19 22:08:14,21,不开车的天哥,8024092,82661,270,1215,482,1233,"MUGEN,杯赛","请勿攻击人物及作者
封面P站id=55535239"
BV1e4411P7jH,http://www.bilibili.com/video/av55445058,【MUGEN整合分享】博人传：无限 【附下载链接】,2019-06-13 14:11:25,22,Y丶Tetsuya,8666098,78707,114,110,1240,825,"MUGEN,单机游戏,新人向,火影忍者,对战","链接：https://pan.baidu.com/s/1oBMBoZt0Iurl35orw1tywA 
提取码：sqg8 

本作整合了疾风传-博人传的一些人物，下载解压即可玩，喜欢火影的朋友不妨试玩一下。
另外别忘了给阿婆主一波三连！！！谢谢大家的支持！！！
想获得更多MUGEN资源请加群964589479"
BV1s4411N75b,http://www.bilibili.com/video/av55083723,【MUGEN】世界破坏者vs天才物理学家,2019-06-09 18:52:28,23,-Evolution新乔-,317051525,77673,82,44,130,146,"MUGEN,假面骑士,假面骑士BUILD,BUILD,天才,变身,特摄,假面骑士decade,王小明,世界的破坏者",双方都为AI对决，今天就把dcd的都上传完，喜欢的请多多支持我。
BV144411T7th,http://www.bilibili.com/video/av54956871,[JOJO]银色镇魂曲波波技能演示,2019-06-08 17:48:07,24,冥白焕冥灵,387510415,71245,158,3,58,15,"MUGEN,JOJO的奇妙冒险,波鲁那雷夫,银色镇魂曲",突然感觉紫色隐者似乎很有用~
BV1g441157id,http://www.bilibili.com/video/av55749255,[MUGEN]大将黄猿VS艾尼路（当光碰见电）,2019-06-16 11:42:41,25,MUG阿尔法,80652556,70434,57,180,98,511,"MUGEN,单机游戏,格斗游戏,动漫,观赏性,海贼王,黄猿,格斗,艾尼路",视频纯属观赏娱乐，AI对战
BV1q4411T71C,http://www.bilibili.com/video/av54995505,【mugen】动漫mugen最新豪华版试玩（自制）（附带下载链接）,2019-06-09 00:00:55,26,闪含微笑,360591076,64752,195,123,1689,1153,"MUGEN,动漫,手操,火影忍者,死神,海贼王,刀剑神域,七龙珠,家庭教师,一拳超人","链接：https://pan.baidu.com/s/1avR_oP2R3tiH6Ic5hRnK7A 
提取码：9rng 
本期整合包含大量动漫人物，特效好，技能齐全，包含死神、火影、海贼、犬夜叉、家教、一拳、刀剑等等人物。
希望拿到的朋友不忘三连，
还有最重要的一点，送我上热门！！！！！！！感谢大家！！"
BV1d4411T7Bu,http://www.bilibili.com/video/av54533472,【mugen】海贼mugen最新版试玩（附带下载链接）注：手机可以玩，但要自学,2019-06-04 14:17:37,27,闪含微笑,360591076,60831,104,191,1017,990,"MUGEN,海贼王,手操,十割,路飞,索罗,演示,试玩,新人,ONEPIECE","链接：https://pan.baidu.com/s/1zdKC6-Z4S-S3GpsiT3xeSA 
提取码：x9t8 

如果想玩手机版的，请在B站搜索mugen手机教程，想要其他人物包资源的可以进我的群。"
